Gewaesser,Einheit,Zeit,Datum,Wert_Aktuell,24h_vorher,Differenz,Mittel_24h,Maximum_24h,Minimum_24h
Aa-Stegen-Wetzikon,l/s,18:50,09.11.2024,95,100,-4.8,95,100,95
Aabach-Käpfnach,l/s,18:50,09.11.2024,48,47,1.3,47,48,47
Aabach-Mönchaltorf,m3/s,18:50,09.11.2024,0.29,0.29,0.005,0.28,0.32,0.23
Aabach-Niederuster,m3/s,18:40,09.11.2024,0.60,1.97,-1.368,0.58,1.98,0.37
Abistbach-Marthalen HW-RB,müM,18:50,09.11.2024,398.88,398.88,0.000,398.88,398.88,398.87
Altbach-Bassersdorf,l/s,18:50,09.11.2024,88,86,2.0,86,88,82
"Altbach Kloten, Schaffhauserstr.",m3/s,18:50,09.11.2024,0.10,0.10,-0.002,0.10,0.11,0.10
Chämtnerbach-Wetzikon,l/s,18:50,09.11.2024,126,114,11.3,125,129,112
Chatzenb.-Turb.-Becken,müM,18:50,09.11.2024,566.33,566.33,0.000,566.33,566.33,566.33
Chrattenweiher-Wetzikon,m,11:00,09.11.2024,1.59,1.60,-0.004,1.59,1.60,1.59
Dorfbach-Maur,l/s,18:00,09.11.2024,8,8,-0.3,8,8,7
Dorfbach-Meilen,l/s,18:50,09.11.2024,21,21,0.0,21,22,21
Eulach-Räterschen,m3/s,18:50,09.11.2024,0.18,0.18,0.000,0.17,0.18,0.17
Eulach-Winterthur,m3/s,18:50,09.11.2024,0.34,0.34,-0.003,0.33,0.34,0.32
Eulach-Wülflingen,m3/s,18:40,09.11.2024,0.33,0.32,0.004,0.32,0.33,0.31
Fischbach-Niederglatt,müM,18:40,09.11.2024,409.18,409.19,-0.008,409.18,409.19,409.16
Furtbach Wüeri Buchs HW-RB,müM,18:50,09.11.2024,421.68,421.68,-0.005,421.65,421.70,421.61
Furtbach-Würenlos,l/s,18:50,09.11.2024,339,339,0.0,320,343,290
Geisslibach-Furtmüli,l/s,12:00,09.11.2024,137,141,-4.0,136,144,127
Glatt-Dübendorf,m3/s,18:45,09.11.2024,2.46,2.56,-0.100,2.50,2.58,2.42
Glatt Oberglatt,müM,18:15,09.11.2024,413.03,413.04,-0.010,413.03,413.04,413.01
Glatt-Rheinsfelden (BAFU),m3/s,18:40,09.11.2024,5.02,5.15,-0.131,5.02,5.23,4.78
Glatt Rümlang,müM,18:50,09.11.2024,416.27,416.27,-0.004,416.27,416.28,416.27
Glatt Schwerzenbach,müM,18:00,09.11.2024,434.69,434.71,-0.014,434.70,434.71,434.69
Glatt Wuhrbrücke,m3/s,12:00,09.11.2024,2.10,2.16,-0.054,2.14,2.19,2.08
Greifensee,müM,18:50,09.11.2024,435.05,435.07,-0.015,435.06,435.07,435.05
Haselbach-Bäckental HW-RB,müM,18:50,09.11.2024,412.98,412.99,-0.002,412.99,412.99,412.98
Haselbach-Maschwanden,l/s,18:50,09.11.2024,193,201,-7.8,199,216,189
Haselbach-Mettmenstetten,l/s,18:50,09.11.2024,49,48,1.2,48,54,43
Hüttnersee Hütten b. Auslauf,m,06:00,09.11.2024,1.70,1.70,-0.005,1.70,1.70,1.70
Jona-Pilgersteg,m3/s,18:50,09.11.2024,0.21,0.24,-0.035,0.23,0.27,0.19
Jona-Rüti,m3/s,18:55,09.11.2024,0.29,0.29,0.000,0.46,0.89,0.29
Jonen-Affoltern a/A HW-RB,müM,18:45,09.11.2024,497.10,497.11,-0.009,497.11,497.11,497.10
Jonen-Zwillikon,m3/s,18:50,09.11.2024,0.19,0.20,-0.006,0.20,0.20,0.19
Katzensee,müM,12:10,08.11.2024,438.93,438.93,0.000,438.93,438.93,438.93
Kempt-Fehraltorf,l/s,18:50,09.11.2024,151,149,2.7,148,157,143
Kempt-Illnau,m3/s,18:40,09.11.2024,0.32,0.33,-0.008,0.31,0.36,0.27
Kempt-Winterthur,m3/s,18:50,09.11.2024,0.55,0.58,-0.036,0.54,0.60,0.50
Limmat-Unterhard,m3/s,18:40,09.11.2024,44.32,53.84,-9.514,49.52,54.37,44.16
Lützelsee,m,18:50,09.11.2024,1.47,1.47,0.004,1.47,1.48,1.47
Lützelsee-OW-Abfluss l/s,l/s,18:50,09.11.2024,5,4,0.8,5,9,3
Lützelsee-TW-Abfluss l/s,l/s,18:45,09.11.2024,12,12,0.0,12,12,12
Mederbach-Marthalen,l/s,18:50,09.11.2024,96,97,-1.6,93,99,85
Mülibach-Esslingen HW-RB,müM,18:50,09.11.2024,461.44,461.44,-0.001,461.45,461.45,461.44
Mülibach-Rietmüli,l/s,18:00,09.11.2024,111,111,0.0,110,113,106
Näfbach-Neftenbach,m3/s,18:00,09.11.2024,0.24,0.24,0.003,0.23,0.24,0.22
Pfäffikersee,müM,18:40,09.11.2024,536.74,536.73,0.003,536.74,536.74,536.73
Reppisch-Birmensdorf,m3/s,18:50,09.11.2024,0.13,0.13,-0.005,0.13,0.13,0.12
Reppisch-Dietikon,m3/s,18:50,09.11.2024,0.55,0.56,-0.008,0.53,0.57,0.49
Rhein Rüdlingen,müM,18:50,09.11.2024,343.43,343.44,-0.008,343.43,343.44,343.43
Riedbach-Hegmatten / HW-RB,müM,18:50,09.11.2024,454.70,454.70,-0.003,454.70,454.70,454.70
Schwarzbach Rickenbach Kellersgasse,m3/s,18:00,09.11.2024,0.07,0.08,-0.003,0.07,0.08,0.07
Schwarzbach-Rickenbach HW-RB,müM,18:50,09.11.2024,416.42,416.38,0.035,416.40,416.42,416.37
Sihl-Blattwag,m3/s,18:50,09.11.2024,2.04,2.12,-0.080,2.04,2.12,2.01
Surb-Niederweningen,l/s,18:50,09.11.2024,129,132,-2.5,127,134,113
"Töss-Altlandenb.,Bauma",m3/s,18:50,09.11.2024,0.22,0.23,-0.010,0.22,0.24,0.20
Töss-Beicher,m3/s,18:00,09.11.2024,0.05,0.05,0.000,0.05,0.05,0.04
Töss-Freienstein,m3/s,18:50,09.11.2024,4.07,3.77,0.300,3.91,5.24,2.99
Töss-Hornsäge,m3/s,18:00,09.11.2024,0.54,0.55,-0.011,0.56,0.57,0.54
Töss-Rämismühle,m3/s,18:50,09.11.2024,0.69,0.69,0.000,0.70,0.71,0.69
Töss-Wülflingen,m3/s,18:50,09.11.2024,1.81,2.06,-0.251,1.77,2.87,1.50
Türlersee,müM,12:00,09.11.2024,644.26,644.27,-0.004,644.27,644.27,644.26
Türlersee Abfluss,l/s,12:00,09.11.2024,31,31,-0.3,32,33,31
"Wildbach-Grosswies, Wetzikon",müM,18:50,09.11.2024,533.00,533.00,-0.001,533.00,533.00,533.00
Wildbach-Wetzikon,m3/s,18:50,09.11.2024,0.14,0.13,0.003,0.13,0.16,0.09
Zürichsee-Oberrieden,müM,18:40,09.11.2024,405.89,405.90,-0.009,405.90,405.91,405.89
